TSNE1,TSNE2
-47.79754,-16.371893
3.186312,-67.17377
-1.7820011,41.0362
-2.393767,47.874386
-20.97891,-40.372482
-13.556485,-32.99836
46.01389,28.78676
16.309832,-2.5309846
0.35251185,37.477345
26.716549,-45.1519
24.398172,-5.788973
-6.877262,54.116596
-63.37477,44.05898
13.958803,58.6414
-26.918846,44.467022
-37.196835,52.48965
32.005836,-69.72821
36.02372,-29.831768
43.947994,-62.481068
-43.3717,44.75867
-46.68433,-52.689186
30.63938,-58.78843
-57.842422,30.224094
53.643185,-23.267065
-17.958052,-53.849926
-7.1622744,78.15021
-30.196716,8.434245
58.58549,35.542347
-44.117813,-44.958668
29.995134,-69.05367
4.013525,1.1672137
-45.689594,6.7609744
-46.215473,17.488771
21.048798,-10.932511
10.321807,-101.77934
-25.355833,36.846516
3.9042344,-81.38349
-24.591923,-42.939404
-3.1814344,82.67032
-55.351917,-31.56141
-21.903969,31.31609
37.535614,34.451492
-4.1043687,84.22424
-53.53597,26.990463
43.6427,67.27097
41.88767,41.55909
-32.981476,-20.097189
-23.789984,-29.716383
-31.231535,31.045929
10.394298,-40.02634
49.212257,12.357611
45.525684,66.34406
-48.857544,-3.2974634
-45.198364,48.85365
-48.71131,-51.311996
-21.53261,-12.790629
